_time,_value,_field,_measurement,nodo
2025-07-01 06:50:00,57.39,leq,leq,1
2025-07-01 06:55:00,67.9,leq,leq,1
2025-07-01 07:00:00,50.54,leq,leq,1
2025-07-01 07:05:00,42.99,leq,leq,1
2025-07-01 07:10:00,46.02,leq,leq,1
2025-07-01 07:15:00,50.48,leq,leq,1
2025-07-01 07:20:00,73.36,leq,leq,1
2025-07-01 07:25:00,69.87,leq,leq,1
2025-07-01 07:30:00,70.23,leq,leq,1
2025-07-01 07:35:00,70.48,leq,leq,1
2025-07-01 07:40:00,79.92,leq,leq,1
2025-07-01 07:45:00,64.02,leq,leq,1
2025-07-01 07:50:00,48.57,leq,leq,1
2025-07-01 07:55:00,64.19,leq,leq,1
2025-07-01 08:00:00,65.78,leq,leq,1
2025-07-01 08:05:00,57.93,leq,leq,1
2025-07-01 08:10:00,64.12,leq,leq,1
2025-07-01 08:15:00,40.64,leq,leq,1
2025-07-01 00:00:00,50.11,leq,leq,2
2025-07-01 00:05:00,61.6,leq,leq,2
2025-07-01 00:10:00,76.94,leq,leq,2
2025-07-01 00:15:00,77.66,leq,leq,2
2025-07-01 00:20:00,76.49,leq,leq,2
2025-07-01 00:25:00,40.23,leq,leq,2
2025-07-01 00:30:00,73.07,leq,leq,2
2025-07-01 00:35:00,78.67,leq,leq,2
2025-07-01 00:40:00,78.25,leq,leq,2
2025-07-01 00:45:00,72.55,leq,leq,2
2025-07-01 00:50:00,67.55,leq,leq,2
2025-07-01 00:55:00,79.67,leq,leq,2
2025-07-01 01:00:00,67.69,leq,leq,2
2025-07-01 01:05:00,61.51,leq,leq,2
2025-07-01 01:10:00,66.63,leq,leq,2
2025-07-01 01:15:00,41.51,leq,leq,2
2025-07-01 01:20:00,47.76,leq,leq,2
2025-07-01 01:25:00,79.31,leq,leq,2
2025-07-01 01:30:00,79.64,leq,leq,2
2025-07-01 01:35:00,54.76,leq,leq,2
2025-07-01 01:40:00,48.58,leq,leq,2
2025-07-01 01:45:00,59.48,leq,leq,2
2025-07-01 01:50:00,68.7,leq,leq,2
2025-07-01 01:55:00,77.69,leq,leq,2
2025-07-01 02:00:00,79.41,leq,leq,2
2025-07-01 02:05:00,75.44,leq,leq,2
2025-07-01 02:10:00,47.94,leq,leq,2
2025-07-01 02:15:00,44.15,leq,leq,2
2025-07-01 02:20:00,67.8,leq,leq,2
2025-07-01 02:25:00,40.93,leq,leq,2
2025-07-01 02:30:00,42.3,leq,leq,2
2025-07-01 02:35:00,65.14,leq,leq,2
2025-07-01 02:40:00,75.19,leq,leq,2
2025-07-01 02:45:00,51.81,leq,leq,2
2025-07-01 02:50:00,48.85,leq,leq,2
2025-07-01 02:55:00,49.41,leq,leq,2
2025-07-01 03:00:00,60.02,leq,leq,2
2025-07-01 03:05:00,45.96,leq,leq,2
2025-07-01 03:10:00,61.92,leq,leq,2
2025-07-01 03:15:00,60.8,leq,leq,2
2025-07-01 03:20:00,66.58,leq,leq,2
2025-07-01 03:25:00,43.5,leq,leq,2
2025-07-01 03:30:00,45.15,leq,leq,2
2025-07-01 03:35:00,56.19,leq,leq,2
2025-07-01 03:40:00,79.31,leq,leq,2
2025-07-01 03:45:00,68.94,leq,leq,2
2025-07-01 03:50:00,67.84,leq,leq,2
2025-07-01 03:55:00,72.57,leq,leq,2
2025-07-01 04:00:00,59.1,leq,leq,2
2025-07-01 04:05:00,74.95,leq,leq,2
2025-07-01 04:10:00,61.92,leq,leq,2
2025-07-01 04:15:00,43.73,leq,leq,2
2025-07-01 04:20:00,57.27,leq,leq,2
2025-07-01 04:25:00,47.75,leq,leq,2
2025-07-01 04:30:00,62.68,leq,leq,2
2025-07-01 04:35:00,54.82,leq,leq,2
2025-07-01 04:40:00,75.66,leq,leq,2
2025-07-01 04:45:00,79.21,leq,leq,2
2025-07-01 04:50:00,59.2,leq,leq,2
2025-07-01 04:55:00,43.29,leq,leq,2
2025-07-01 05:00:00,53.76,leq,leq,2
2025-07-01 05:05:00,59.31,leq,leq,2
2025-07-01 05:10:00,52.23,leq,leq,2
2025-07-01 05:15:00,56.17,leq,leq,2
2025-07-01 05:20:00,62.26,leq,leq,2
2025-07-01 05:25:00,52.37,leq,leq,2
2025-07-01 05:30:00,57.63,leq,leq,2
2025-07-01 05:35:00,65.53,leq,leq,2
2025-07-01 05:40:00,61.93,leq,leq,2
2025-07-01 05:45:00,74.62,leq,leq,2
2025-07-01 05:50:00,56.23,leq,leq,2
2025-07-01 05:55:00,68.87,leq,leq,2
2025-07-01 06:00:00,44.26,leq,leq,2
2025-07-01 06:05:00,47.96,leq,leq,2
2025-07-01 06:10:00,75.38,leq,leq,2
2025-07-01 06:15:00,66.44,leq,leq,2
2025-07-01 06:20:00,74.3,leq,leq,2
2025-07-01 06:25:00,46.59,leq,leq,2
2025-07-01 06:30:00,53.94,leq,leq,2
2025-07-01 06:35:00,70.79,leq,leq,2
2025-07-01 06:40:00,62.4,leq,leq,2
2025-07-01 06:45:00,62.77,leq,leq,2
2025-07-01 06:50:00,51.16,leq,leq,2
2025-07-01 06:55:00,58.42,leq,leq,2
2025-07-01 07:00:00,62.99,leq,leq,2
2025-07-01 07:05:00,60.66,leq,leq,2
2025-07-01 07:10:00,58.42,leq,leq,2
2025-07-01 07:15:00,56.4,leq,leq,2
2025-07-01 07:20:00,79.93,leq,leq,2
2025-07-01 07:25:00,45.04,leq,leq,2
2025-07-01 07:30:00,76.74,leq,leq,2
2025-07-01 07:35:00,62.15,leq,leq,2
2025-07-01 07:40:00,46.01,leq,leq,2
2025-07-01 07:45:00,77.65,leq,leq,2
2025-07-01 07:50:00,59.14,leq,leq,2
2025-07-01 07:55:00,78.87,leq,leq,2
2025-07-01 08:00:00,60.75,leq,leq,2
2025-07-01 08:05:00,79.39,leq,leq,2
2025-07-01 08:10:00,65.97,leq,leq,2
2025-07-01 08:15:00,70.68,leq,leq,2
2025-07-01 00:00:00,68.33,leq,leq,3
2025-07-01 00:05:00,64.54,leq,leq,3
2025-07-01 00:10:00,41.57,leq,leq,3
2025-07-01 00:15:00,66.52,leq,leq,3
2025-07-01 00:20:00,48.72,leq,leq,3
2025-07-01 00:25:00,46.03,leq,leq,3
2025-07-01 00:30:00,79.36,leq,leq,3
2025-07-01 00:35:00,76.61,leq,leq,3
2025-07-01 00:40:00,50.6,leq,leq,3
2025-07-01 00:45:00,50.73,leq,leq,3
2025-07-01 00:50:00,59.84,leq,leq,3
2025-07-01 00:55:00,75.72,leq,leq,3
2025-07-01 01:00:00,61.23,leq,leq,3
2025-07-01 01:05:00,72.47,leq,leq,3
2025-07-01 01:10:00,43.57,leq,leq,3
2025-07-01 01:15:00,61.05,leq,leq,3
2025-07-01 01:20:00,49.91,leq,leq,3
2025-07-01 01:25:00,71.91,leq,leq,3
2025-07-01 01:30:00,60.77,leq,leq,3
2025-07-01 01:35:00,62.67,leq,leq,3
2025-07-01 01:40:00,67.54,leq,leq,3
2025-07-01 01:45:00,40.31,leq,leq,3
2025-07-01 01:50:00,56.61,leq,leq,3
2025-07-01 01:55:00,73.73,leq,leq,3
2025-07-01 02:00:00,61.7,leq,leq,3
2025-07-01 02:05:00,40.24,leq,leq,3
2025-07-01 02:10:00,50.66,leq,leq,3
2025-07-01 02:15:00,48.01,leq,leq,3
2025-07-01 02:20:00,75.31,leq,leq,3
2025-07-01 02:25:00,42.34,leq,leq,3
2025-07-01 02:30:00,79.41,leq,leq,3
2025-07-01 02:35:00,59.69,leq,leq,3
2025-07-01 02:40:00,63.84,leq,leq,3
2025-07-01 02:45:00,65.45,leq,leq,3
2025-07-01 02:50:00,47.08,leq,leq,3
2025-07-01 02:55:00,60.36,leq,leq,3
2025-07-01 03:00:00,72.46,leq,leq,3
2025-07-01 03:05:00,66.82,leq,leq,3
2025-07-01 03:10:00,42.5,leq,leq,3
2025-07-01 03:15:00,74.05,leq,leq,3
2025-07-01 03:20:00,79.82,leq,leq,3
2025-07-01 03:25:00,76.78,leq,leq,3
2025-07-01 03:30:00,52.8,leq,leq,3
2025-07-01 03:35:00,45.02,leq,leq,3
2025-07-01 03:40:00,60.22,leq,leq,3
2025-07-01 03:45:00,67.49,leq,leq,3
2025-07-01 03:50:00,65.71,leq,leq,3
2025-07-01 03:55:00,53.31,leq,leq,3
2025-07-01 04:00:00,67.32,leq,leq,3
2025-07-01 04:05:00,48.9,leq,leq,3
2025-07-01 04:10:00,74.48,leq,leq,3
2025-07-01 04:15:00,76.93,leq,leq,3
2025-07-01 04:20:00,56.82,leq,leq,3
2025-07-01 04:25:00,64.99,leq,leq,3
2025-07-01 04:30:00,45.54,leq,leq,3
2025-07-01 04:35:00,41.91,leq,leq,3
2025-07-01 04:40:00,41.54,leq,leq,3
2025-07-01 04:45:00,62.73,leq,leq,3
2025-07-01 04:50:00,61.82,leq,leq,3
2025-07-01 04:55:00,76.11,leq,leq,3
2025-07-01 05:00:00,51.28,leq,leq,3
2025-07-01 05:05:00,55.72,leq,leq,3
2025-07-01 05:10:00,41.02,leq,leq,3
2025-07-01 05:15:00,78.33,leq,leq,3
2025-07-01 05:20:00,53.59,leq,leq,3
2025-07-01 05:25:00,43.12,leq,leq,3
2025-07-01 05:30:00,72.72,leq,leq,3
2025-07-01 05:35:00,69.92,leq,leq,3
2025-07-01 05:40:00,73.74,leq,leq,3
2025-07-01 05:45:00,40.05,leq,leq,3
2025-07-01 05:50:00,54.14,leq,leq,3
2025-07-01 05:55:00,46.1,leq,leq,3
2025-07-01 06:00:00,49.27,leq,leq,3
2025-07-01 06:05:00,45.45,leq,leq,3
2025-07-01 06:10:00,78.26,leq,leq,3
2025-07-01 06:15:00,50.28,leq,leq,3
2025-07-01 06:20:00,50.58,leq,leq,3
2025-07-01 06:25:00,67.63,leq,leq,3
2025-07-01 06:30:00,64.26,leq,leq,3
2025-07-01 06:35:00,59.0,leq,leq,3
2025-07-01 06:40:00,74.87,leq,leq,3
2025-07-01 06:45:00,57.17,leq,leq,3
2025-07-01 06:50:00,65.76,leq,leq,3
2025-07-01 06:55:00,74.58,leq,leq,3
2025-07-01 07:00:00,51.35,leq,leq,3
2025-07-01 07:05:00,68.2,leq,leq,3
2025-07-01 07:10:00,41.01,leq,leq,3
2025-07-01 07:15:00,56.36,leq,leq,3
2025-07-01 07:20:00,76.22,leq,leq,3
2025-07-01 07:25:00,66.42,leq,leq,3
2025-07-01 07:30:00,77.87,leq,leq,3
2025-07-01 07:35:00,57.3,leq,leq,3
2025-07-01 07:40:00,71.89,leq,leq,3
2025-07-01 07:45:00,65.99,leq,leq,3
2025-07-01 07:50:00,44.42,leq,leq,3
2025-07-01 07:55:00,65.81,leq,leq,3
2025-07-01 08:00:00,49.96,leq,leq,3
2025-07-01 08:05:00,48.72,leq,leq,3
2025-07-01 08:10:00,54.71,leq,leq,3
2025-07-01 08:15:00,56.7,leq,leq,3
2025-07-01 00:00:00,52.96,leq,leq,4
2025-07-01 00:05:00,75.1,leq,leq,4
2025-07-01 00:10:00,68.47,leq,leq,4
2025-07-01 00:15:00,73.5,leq,leq,4
2025-07-01 00:20:00,61.92,leq,leq,4
2025-07-01 00:25:00,49.35,leq,leq,4
2025-07-01 00:30:00,43.42,leq,leq,4
2025-07-01 00:35:00,70.48,leq,leq,4
2025-07-01 00:40:00,48.26,leq,leq,4
2025-07-01 00:45:00,61.11,leq,leq,4
2025-07-01 00:50:00,61.17,leq,leq,4
2025-07-01 00:55:00,72.81,leq,leq,4
2025-07-01 01:00:00,71.02,leq,leq,4
2025-07-01 01:05:00,65.19,leq,leq,4
2025-07-01 01:10:00,62.47,leq,leq,4
2025-07-01 01:15:00,72.49,leq,leq,4
2025-07-01 01:20:00,68.69,leq,leq,4
2025-07-01 01:25:00,79.27,leq,leq,4
2025-07-01 01:30:00,68.71,leq,leq,4
2025-07-01 01:35:00,58.73,leq,leq,4
2025-07-01 01:40:00,69.97,leq,leq,4
2025-07-01 01:45:00,69.06,leq,leq,4
2025-07-01 01:50:00,76.69,leq,leq,4
2025-07-01 01:55:00,63.82,leq,leq,4
2025-07-01 02:00:00,48.12,leq,leq,4
2025-07-01 02:05:00,79.09,leq,leq,4
2025-07-01 02:10:00,55.97,leq,leq,4
2025-07-01 02:15:00,57.95,leq,leq,4
2025-07-01 02:20:00,42.61,leq,leq,4
2025-07-01 02:25:00,59.56,leq,leq,4
2025-07-01 02:30:00,66.85,leq,leq,4
2025-07-01 02:35:00,42.87,leq,leq,4
2025-07-01 02:40:00,79.58,leq,leq,4
2025-07-01 02:45:00,41.6,leq,leq,4
2025-07-01 02:50:00,56.79,leq,leq,4
2025-07-01 02:55:00,56.93,leq,leq,4
2025-07-01 03:00:00,57.0,leq,leq,4
2025-07-01 03:05:00,67.3,leq,leq,4
2025-07-01 03:10:00,45.49,leq,leq,4
2025-07-01 03:15:00,59.05,leq,leq,4
2025-07-01 03:20:00,44.98,leq,leq,4
2025-07-01 03:25:00,69.18,leq,leq,4
2025-07-01 03:30:00,65.89,leq,leq,4
2025-07-01 03:35:00,40.24,leq,leq,4
2025-07-01 03:40:00,69.98,leq,leq,4
2025-07-01 03:45:00,48.73,leq,leq,4
2025-07-01 03:50:00,53.63,leq,leq,4
2025-07-01 03:55:00,76.37,leq,leq,4
2025-07-01 04:00:00,51.93,leq,leq,4
2025-07-01 04:05:00,73.11,leq,leq,4
2025-07-01 04:10:00,46.19,leq,leq,4
2025-07-01 04:15:00,53.36,leq,leq,4
2025-07-01 04:20:00,73.42,leq,leq,4
2025-07-01 04:25:00,56.87,leq,leq,4
2025-07-01 04:30:00,63.04,leq,leq,4
2025-07-01 04:35:00,64.7,leq,leq,4
2025-07-01 04:40:00,59.22,leq,leq,4
2025-07-01 04:45:00,64.28,leq,leq,4
2025-07-01 04:50:00,65.73,leq,leq,4
2025-07-01 04:55:00,62.74,leq,leq,4
2025-07-01 05:00:00,52.45,leq,leq,4
2025-07-01 05:05:00,74.85,leq,leq,4
2025-07-01 05:10:00,68.96,leq,leq,4
2025-07-01 05:15:00,68.41,leq,leq,4
2025-07-01 05:20:00,70.3,leq,leq,4
2025-07-01 05:25:00,44.25,leq,leq,4
2025-07-01 05:30:00,66.9,leq,leq,4
2025-07-01 05:35:00,68.34,leq,leq,4
2025-07-01 05:40:00,74.32,leq,leq,4
2025-07-01 05:45:00,61.64,leq,leq,4
2025-07-01 05:50:00,55.54,leq,leq,4
2025-07-01 05:55:00,50.55,leq,leq,4
2025-07-01 06:00:00,60.76,leq,leq,4
2025-07-01 06:05:00,64.88,leq,leq,4
2025-07-01 06:10:00,64.73,leq,leq,4
2025-07-01 06:15:00,60.44,leq,leq,4
2025-07-01 06:20:00,45.03,leq,leq,4
2025-07-01 06:25:00,72.18,leq,leq,4
2025-07-01 06:30:00,65.39,leq,leq,4
2025-07-01 06:35:00,51.75,leq,leq,4
2025-07-01 06:40:00,46.58,leq,leq,4
2025-07-01 06:45:00,50.71,leq,leq,4
2025-07-01 06:50:00,72.91,leq,leq,4
2025-07-01 06:55:00,74.11,leq,leq,4
2025-07-01 07:00:00,51.55,leq,leq,4
2025-07-01 07:05:00,49.35,leq,leq,4
2025-07-01 07:10:00,40.81,leq,leq,4
2025-07-01 07:15:00,44.52,leq,leq,4
2025-07-01 07:20:00,64.5,leq,leq,4
2025-07-01 07:25:00,78.15,leq,leq,4
2025-07-01 07:30:00,69.47,leq,leq,4
2025-07-01 07:35:00,44.72,leq,leq,4
2025-07-01 07:40:00,75.67,leq,leq,4
2025-07-01 07:45:00,55.78,leq,leq,4
2025-07-01 07:50:00,48.82,leq,leq,4
2025-07-01 07:55:00,70.11,leq,leq,4
2025-07-01 08:00:00,76.17,leq,leq,4
2025-07-01 08:05:00,59.75,leq,leq,4
2025-07-01 08:10:00,77.09,leq,leq,4
2025-07-01 08:15:00,73.58,leq,leq,4
2025-07-01 00:00:00,63.67,leq,leq,5
2025-07-01 00:05:00,74.55,leq,leq,5
2025-07-01 00:10:00,47.42,leq,leq,5
2025-07-01 00:15:00,73.42,leq,leq,5
2025-07-01 00:20:00,57.5,leq,leq,5
2025-07-01 00:25:00,46.44,leq,leq,5
2025-07-01 00:30:00,50.06,leq,leq,5
2025-07-01 00:35:00,78.55,leq,leq,5
2025-07-01 00:40:00,42.3,leq,leq,5
2025-07-01 00:45:00,40.54,leq,leq,5
2025-07-01 00:50:00,75.41,leq,leq,5
2025-07-01 00:55:00,52.18,leq,leq,5
2025-07-01 01:00:00,52.4,leq,leq,5
2025-07-01 01:05:00,64.45,leq,leq,5
2025-07-01 01:10:00,76.9,leq,leq,5
2025-07-01 01:15:00,57.95,leq,leq,5
2025-07-01 01:20:00,76.62,leq,leq,5
2025-07-01 01:25:00,68.14,leq,leq,5
2025-07-01 01:30:00,64.43,leq,leq,5
2025-07-01 01:35:00,52.53,leq,leq,5
2025-07-01 01:40:00,68.51,leq,leq,5
2025-07-01 01:45:00,49.66,leq,leq,5
2025-07-01 01:50:00,46.73,leq,leq,5
2025-07-01 01:55:00,57.05,leq,leq,5
2025-07-01 02:00:00,60.06,leq,leq,5
2025-07-01 02:05:00,76.52,leq,leq,5
2025-07-01 02:10:00,66.24,leq,leq,5
2025-07-01 02:15:00,50.71,leq,leq,5
2025-07-01 02:20:00,58.99,leq,leq,5
2025-07-01 02:25:00,61.77,leq,leq,5
2025-07-01 02:30:00,57.48,leq,leq,5
2025-07-01 02:35:00,55.93,leq,leq,5
2025-07-01 02:40:00,56.58,leq,leq,5
2025-07-01 02:45:00,52.52,leq,leq,5
2025-07-01 02:50:00,75.17,leq,leq,5
2025-07-01 02:55:00,73.94,leq,leq,5
2025-07-01 03:00:00,45.4,leq,leq,5
2025-07-01 03:05:00,66.33,leq,leq,5
2025-07-01 03:10:00,58.55,leq,leq,5
2025-07-01 03:15:00,44.44,leq,leq,5
2025-07-01 03:20:00,51.7,leq,leq,5
2025-07-01 03:25:00,60.9,leq,leq,5
2025-07-01 03:30:00,43.18,leq,leq,5
2025-07-01 03:35:00,44.83,leq,leq,5
2025-07-01 03:40:00,40.04,leq,leq,5
2025-07-01 03:45:00,61.91,leq,leq,5
2025-07-01 03:50:00,63.43,leq,leq,5
2025-07-01 03:55:00,48.22,leq,leq,5
2025-07-01 04:00:00,78.5,leq,leq,5
2025-07-01 04:05:00,68.7,leq,leq,5
2025-07-01 04:10:00,66.06,leq,leq,5
2025-07-01 04:15:00,50.47,leq,leq,5
2025-07-01 04:20:00,60.93,leq,leq,5
2025-07-01 04:25:00,77.38,leq,leq,5
2025-07-01 04:30:00,46.28,leq,leq,5
2025-07-01 04:35:00,61.78,leq,leq,5
2025-07-01 04:40:00,49.8,leq,leq,5
2025-07-01 04:45:00,46.37,leq,leq,5
2025-07-01 04:50:00,56.71,leq,leq,5
2025-07-01 04:55:00,49.98,leq,leq,5
2025-07-01 05:00:00,65.05,leq,leq,5
2025-07-01 05:05:00,61.31,leq,leq,5
2025-07-01 05:10:00,69.04,leq,leq,5
2025-07-01 05:15:00,53.58,leq,leq,5
2025-07-01 05:20:00,54.65,leq,leq,5
2025-07-01 05:25:00,41.91,leq,leq,5
2025-07-01 05:30:00,78.73,leq,leq,5
2025-07-01 05:35:00,71.85,leq,leq,5
2025-07-01 05:40:00,71.28,leq,leq,5
2025-07-01 05:45:00,71.52,leq,leq,5
2025-07-01 05:50:00,71.29,leq,leq,5
2025-07-01 05:55:00,57.08,leq,leq,5
2025-07-01 06:00:00,75.41,leq,leq,5
2025-07-01 06:05:00,64.35,leq,leq,5
2025-07-01 06:10:00,46.82,leq,leq,5
2025-07-01 06:15:00,77.57,leq,leq,5
2025-07-01 06:20:00,76.51,leq,leq,5
2025-07-01 06:25:00,71.26,leq,leq,5
2025-07-01 06:30:00,66.11,leq,leq,5
2025-07-01 06:35:00,51.48,leq,leq,5
2025-07-01 06:40:00,43.46,leq,leq,5
2025-07-01 06:45:00,53.92,leq,leq,5
2025-07-01 06:50:00,61.83,leq,leq,5
2025-07-01 06:55:00,73.47,leq,leq,5
2025-07-01 07:00:00,79.71,leq,leq,5
2025-07-01 07:05:00,79.63,leq,leq,5
2025-07-01 07:10:00,72.08,leq,leq,5
2025-07-01 07:15:00,62.51,leq,leq,5
2025-07-01 07:20:00,60.72,leq,leq,5
2025-07-01 07:25:00,47.86,leq,leq,5
2025-07-01 07:30:00,65.08,leq,leq,5
2025-07-01 07:35:00,59.32,leq,leq,5
2025-07-01 07:40:00,72.06,leq,leq,5
2025-07-01 07:45:00,56.67,leq,leq,5
2025-07-01 07:50:00,72.64,leq,leq,5
2025-07-01 07:55:00,43.13,leq,leq,5
2025-07-01 08:00:00,66.63,leq,leq,5
2025-07-01 08:05:00,75.28,leq,leq,5
2025-07-01 08:10:00,45.94,leq,leq,5
2025-07-01 08:15:00,57.21,leq,leq,5
2025-07-01 00:00:00,55.34,leq,leq,6
2025-07-01 00:05:00,52.96,leq,leq,6
2025-07-01 00:10:00,70.45,leq,leq,6
2025-07-01 00:15:00,66.81,leq,leq,6
2025-07-01 00:20:00,44.93,leq,leq,6
2025-07-01 00:25:00,52.78,leq,leq,6
2025-07-01 00:30:00,59.21,leq,leq,6
2025-07-01 00:35:00,78.55,leq,leq,6
2025-07-01 00:40:00,67.36,leq,leq,6
2025-07-01 00:45:00,77.54,leq,leq,6
2025-07-01 00:50:00,48.1,leq,leq,6
2025-07-01 00:55:00,75.59,leq,leq,6
2025-07-01 01:00:00,53.23,leq,leq,6
2025-07-01 01:05:00,47.5,leq,leq,6
2025-07-01 01:10:00,76.1,leq,leq,6
2025-07-01 01:15:00,44.62,leq,leq,6
2025-07-01 01:20:00,59.43,leq,leq,6
2025-07-01 01:25:00,43.66,leq,leq,6
2025-07-01 01:30:00,75.94,leq,leq,6
2025-07-01 01:35:00,77.71,leq,leq,6
2025-07-01 01:40:00,79.59,leq,leq,6
2025-07-01 01:45:00,42.27,leq,leq,6
2025-07-01 01:50:00,71.46,leq,leq,6
2025-07-01 01:55:00,72.75,leq,leq,6
2025-07-01 02:00:00,44.11,leq,leq,6
2025-07-01 02:05:00,69.1,leq,leq,6
2025-07-01 02:10:00,46.58,leq,leq,6
2025-07-01 02:15:00,47.64,leq,leq,6
2025-07-01 02:20:00,76.25,leq,leq,6
2025-07-01 02:25:00,62.59,leq,leq,6
2025-07-01 02:30:00,56.03,leq,leq,6
2025-07-01 02:35:00,65.37,leq,leq,6
2025-07-01 02:40:00,52.53,leq,leq,6
2025-07-01 02:45:00,70.82,leq,leq,6
2025-07-01 02:50:00,58.4,leq,leq,6
2025-07-01 02:55:00,55.03,leq,leq,6
2025-07-01 03:00:00,77.7,leq,leq,6
2025-07-01 03:05:00,45.88,leq,leq,6
2025-07-01 03:10:00,63.79,leq,leq,6
2025-07-01 03:15:00,79.53,leq,leq,6
2025-07-01 03:20:00,64.56,leq,leq,6
2025-07-01 03:25:00,60.58,leq,leq,6
2025-07-01 03:30:00,59.41,leq,leq,6
2025-07-01 03:35:00,46.11,leq,leq,6
2025-07-01 03:40:00,56.5,leq,leq,6
2025-07-01 03:45:00,50.89,leq,leq,6
2025-07-01 03:50:00,71.21,leq,leq,6
2025-07-01 03:55:00,44.89,leq,leq,6
2025-07-01 04:00:00,57.42,leq,leq,6
2025-07-01 04:05:00,53.93,leq,leq,6
2025-07-01 04:10:00,43.32,leq,leq,6
2025-07-01 04:15:00,62.98,leq,leq,6
2025-07-01 04:20:00,75.94,leq,leq,6
2025-07-01 04:25:00,58.45,leq,leq,6
2025-07-01 04:30:00,58.84,leq,leq,6
2025-07-01 04:35:00,69.74,leq,leq,6
2025-07-01 04:40:00,63.41,leq,leq,6
2025-07-01 04:45:00,73.5,leq,leq,6
